,*Thu Aug 31 11:39:07 2023_5.7_5,
Wavenumbers [1/cm],Absorbance,
3646.249,0.03102279,
3645.767,0.03080181,
3645.284,0.03067301,
3644.802,0.03061048,
3644.320,0.03059225,
3643.838,0.03059844,
3643.356,0.03060916,
3642.874,0.03060529,
3642.392,0.03057122,
3641.910,0.03050284,
3641.427,0.03041108,
3640.945,0.03032376,
3640.463,0.03027441,
3639.981,0.03029269,
3639.499,0.03039215,
3639.017,0.03056199,
3638.535,0.03076692,
3638.053,0.03095184,
3637.571,0.03106105,
3637.088,0.03105089,
3636.606,0.03090411,
3636.124,0.03063224,
3635.642,0.0302708,
3635.160,0.02987096,
3634.678,0.02948638,
3634.196,0.02917366,
3633.714,0.02897897,
3633.232,0.02892715,
3632.749,0.02901572,
3632.267,0.02921779,
3631.785,0.0294964,
3631.303,0.02980955,
3630.821,0.03011773,
3630.339,0.03038239,
3629.857,0.03055443,
3629.375,0.03058221,
3628.892,0.03043684,
3628.410,0.03016445,
3627.928,0.02989588,
3627.446,0.0297646,
3626.964,0.02982543,
3626.482,0.03004854,
3626.000,0.03036916,
3625.518,0.03072028,
3625.036,0.03104812,
3624.553,0.03131225,
3624.071,0.03148628,
3623.589,0.03156197,
3623.107,0.03154488,
3622.625,0.0314541,
3622.143,0.0313168,
3621.661,0.03116847,
3621.179,0.03105163,
3620.696,0.03100895,
3620.214,0.03107795,
3619.732,0.03127269,
3619.250,0.03156628,
3618.768,0.03187978,
3618.286,0.03211004,
3617.804,0.03218441,
3617.322,0.03208854,
3616.840,0.03186521,
3616.357,0.03157798,
3615.875,0.03128743,
3615.393,0.03103546,
3614.911,0.03084317,
3614.429,0.03071909,
3613.947,0.03066074,
3613.465,0.03065819,
3612.983,0.03069522,
3612.500,0.03075338,
3612.018,0.03081528,
3611.536,0.03086488,
3611.054,0.03088901,
3610.572,0.03087601,
3610.090,0.03081611,
3609.608,0.03070711,
3609.126,0.03055996,
3608.644,0.03040366,
3608.161,0.0302777,
3607.679,0.03021863,
3607.197,0.03023779,
3606.715,0.03031429,
3606.233,0.0304058,
3605.751,0.03047148,
3605.269,0.03049034,
3604.787,0.03046517,
3604.305,0.03041727,
3603.822,0.03037722,
3603.340,0.03037732,
3602.858,0.03044093,
3602.376,0.03057521,
3601.894,0.03076789,
3601.412,0.03098761,
3600.930,0.03119309,
3600.448,0.03134314,
3599.965,0.03141247,
3599.483,0.03140042,
3599.001,0.03132973,
3598.519,0.03123652,
3598.037,0.03115783,
3597.555,0.03112803,
3597.073,0.03117307,
3596.591,0.03130947,
3596.109,0.03154419,
3595.626,0.03186949,
3595.144,0.03225887,
3594.662,0.03266335,
3594.180,0.03302255,
3593.698,0.03327893,
3593.216,0.03339599,
3592.734,0.033371,
3592.252,0.03322889,
3591.769,0.03300912,
3591.287,0.03274857,
3590.805,0.03247667,
3590.323,0.03221394,
3589.841,0.03197245,
3589.359,0.0317628,
3588.877,0.03159504,
3588.395,0.03147529,
3587.913,0.03139757,
3587.430,0.03133334,
3586.948,0.03123797,
3586.466,0.03107369,
3585.984,0.03084455,
3585.502,0.03059926,
3585.020,0.03040797,
3584.538,0.03033161,
3584.056,0.03040125,
3583.573,0.03061627,
3583.091,0.03093773,
3582.609,0.0312966,
3582.127,0.03159992,
3581.645,0.03176091,
3581.163,0.03172288,
3580.681,0.03147886,
3580.199,0.03108028,
3579.717,0.03062508,
3579.234,0.03023515,
3578.752,0.03000928,
3578.270,0.02999628,
3577.788,0.03017699,
3577.306,0.03047524,
3576.824,0.030781,
3576.342,0.03098425,
3575.860,0.03101458,
3575.378,0.03085351,
3574.895,0.03054279,
3574.413,0.03016383,
3573.931,0.02981879,
3573.449,0.02959481,
3572.967,0.02953792,
3572.485,0.02965024,
3572.003,0.02989723,
3571.521,0.0302295,
3571.038,0.03059837,
3570.556,0.03097425,
3570.074,0.03135548,
3569.592,0.03176428,
3569.110,0.03223877,
3568.628,0.03281422,
3568.146,0.03349752,
3567.664,0.03423606,
3567.182,0.03490442,
3566.699,0.03532644,
3566.217,0.03538081,
3565.735,0.03508917,
3565.253,0.0346089,
3564.771,0.03412006,
3564.289,0.03373955,
3563.807,0.03350179,
3563.325,0.03337651,
3562.842,0.03330466,
3562.360,0.03322583,
3561.878,0.03310402,
3561.396,0.03293638,
3560.914,0.03275584,
3560.432,0.03261372,
3559.950,0.03256159,
3559.468,0.03262458,
3558.986,0.03278814,
3558.503,0.03300078,
3558.021,0.03319123,
3557.539,0.03329881,
3557.057,0.03328516,
3556.575,0.03314958,
3556.093,0.03292347,
3555.611,0.03266401,
3555.129,0.03243753,
3554.646,0.03230157,
3554.164,0.03229981,
3553.682,0.03244827,
3553.200,0.03273316,
3552.718,0.03310678,
3552.236,0.03349628,
3551.754,0.03382459,
3551.272,0.03402883,
3550.790,0.03408749,
3550.307,0.03401902,
3549.825,0.03387066,
3549.343,0.03369417,
3548.861,0.0335292,
3548.379,0.03339432,
3547.897,0.03328168,
3547.415,0.03316085,
3546.933,0.0329901,
3546.451,0.03274098,
3545.968,0.03242026,
3545.486,0.03208464,
3545.004,0.03182315,
3544.522,0.03172736,
3544.040,0.03184951,
3543.558,0.03217801,
3543.076,0.0326453,
3542.594,0.03315342,
3542.111,0.03361556,
3541.629,0.03397028,
3541.147,0.03419543,
3540.665,0.03430324,
3540.183,0.03432684,
3539.701,0.03430496,
3539.219,0.03426651,
3538.737,0.03422649,
3538.255,0.03418517,
3537.772,0.03413555,
3537.290,0.03407103,
3536.808,0.03399242,
3536.326,0.03390623,
3535.844,0.03381751,
3535.362,0.03372099,
3534.880,0.03359684,
3534.398,0.0334143,
3533.915,0.03314655,
3533.433,0.03278213,
3532.951,0.03233496,
3532.469,0.03184433,
3531.987,0.03136969,
3531.505,0.0309807,
3531.023,0.03073193,
3530.541,0.03065143,
3530.059,0.03072959,
3529.576,0.03092329,
3529.094,0.03116618,
3528.612,0.0313842,
3528.130,0.03151885,
3527.648,0.03153381,
3527.166,0.03142486,
3526.684,0.03121344,
3526.202,0.03094148,
3525.719,0.03065884,
3525.237,0.03041365,
3524.755,0.03025507,
3524.273,0.03022381,
3523.791,0.03034368,
3523.309,0.03061463,
3522.827,0.03100266,
3522.345,0.03145,
3521.863,0.03188862,
3521.380,0.03226752,
3520.898,0.03256581,
3520.416,0.03279236,
3519.934,0.03297509,
3519.452,0.0331453,
3518.970,0.03332409,
3518.488,0.03351203,
3518.006,0.03368926,
3517.523,0.03382178,
3517.041,0.0338783,
3516.559,0.03384171,
3516.077,0.03371538,
3515.595,0.0335201,
3515.113,0.03328503,
3514.631,0.03303762,
3514.149,0.03279328,
3513.667,0.03255868,
3513.184,0.03233323,
3512.702,0.03211885,
3512.220,0.03192275,
3511.738,0.0317599,
3511.256,0.03164461,
3510.774,0.0315848,
3510.292,0.03157206,
3509.810,0.03158265,
3509.328,0.03158008,
3508.845,0.03153121,
3508.363,0.03142021,
3507.881,0.03125297,
3507.399,0.03105255,
3506.917,0.03084429,
3506.435,0.0306477,
3505.953,0.03046812,
3505.471,0.03030217,
3504.988,0.03014573,
3504.506,0.0300045,
3504.024,0.02989967,
3503.542,0.02986923,
3503.060,0.02995246,
3502.578,0.03017077,
3502.096,0.03051074,
3501.614,0.03092202,
3501.132,0.03133153,
3500.649,0.03166517,
3500.167,0.03187371,
3499.685,0.03193711,
3499.203,0.03186462,
3498.721,0.03168423,
3498.239,0.03143651,
3497.757,0.03116641,
3497.275,0.03091615,
3496.792,0.03072589,
3496.310,0.03063018,
3495.828,0.03065086,
3495.346,0.03079474,
3494.864,0.03104641,
3494.382,0.03137082,
3493.900,0.03171381,
3493.418,0.03201396,
3492.936,0.03221912,
3492.453,0.03229051,
3491.971,0.03221671,
3491.489,0.03201193,
3491.007,0.03171432,
3490.525,0.03137507,
3490.043,0.03104707,
3489.561,0.03078177,
3489.079,0.03062025,
3488.596,0.03059292,
3488.114,0.03072224,
3487.632,0.03101954,
3487.150,0.0314825,
3486.668,0.03208777,
3486.186,0.03278971,
3485.704,0.03351982,
3485.222,0.03419069,
3484.740,0.03471721,
3484.257,0.0350219,
3483.775,0.03504941,
3483.293,0.03478184,
3482.811,0.03424532,
3482.329,0.03351722,
3481.847,0.03270771,
3481.365,0.03194531,
3480.883,0.03133624,
3480.401,0.03093268,
3479.918,0.03072649,
3479.436,0.03066156,
3478.954,0.03066885,
3478.472,0.0306893,
3477.990,0.03069772,
3477.508,0.0307051,
3477.026,0.03074854,
3476.544,0.03086979,
3476.061,0.03109337,
3475.579,0.03141212,
3475.097,0.03178256,
3474.615,0.03214053,
3474.133,0.032419,
3473.651,0.03257903,
3473.169,0.03262197,
3472.687,0.03258801,
3472.205,0.03253572,
3471.722,0.03252083,
3471.240,0.03258011,
3470.758,0.03272124,
3470.276,0.03293085,
3469.794,0.03318655,
3469.312,0.03347227,
3468.830,0.03378388,
3468.348,0.03412326,
3467.865,0.03448697,
3467.383,0.0348489,
3466.901,0.03515561,
3466.419,0.03533879,
3465.937,0.03533408,
3465.455,0.03511052,
3464.973,0.03468832,
3464.491,0.03414015,
3464.009,0.03357376,
3463.526,0.0330938,
3463.044,0.03278356,
3462.562,0.03267188,
3462.080,0.03272792,
3461.598,0.03286919,
3461.116,0.03299306,
3460.634,0.03301521,
3460.152,0.03288785,
3459.669,0.03261499,
3459.187,0.0322397,
3458.705,0.0318303,
3458.223,0.03145542,
3457.741,0.03116837,
3457.259,0.03100421,
3456.777,0.03097361,
3456.295,0.03106895,
3455.813,0.03126523,
3455.330,0.03152742,
3454.848,0.03181184,
3454.366,0.03207259,
3453.884,0.03227426,
3453.402,0.03240111,
3452.920,0.03246561,
3452.438,0.0325076,
3451.956,0.03258732,
3451.474,0.03276689,
3450.991,0.03308481,
3450.509,0.03354268,
3450.027,0.03409522,
3449.545,0.03466592,
3449.063,0.03515631,
3448.581,0.03547551,
3448.099,0.0355674,
3447.617,0.03542366,
3447.134,0.03509358,
3446.652,0.03466397,
3446.170,0.03423488,
3445.688,0.03387573,
